date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:48	262/262	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Mar%202021%2008:19:48%20GMT	http://bookwritingfounders.com/author-website	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/author-website	(from https://bookwritingfounders.com/)
13:19:49	55986/55986	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2008:19:48%20GMT	https://bookwritingfounders.com/author-website	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/author-website.html	(from https://bookwritingfounders.com/)
13:19:49	271/271	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Mar%202021%2008:19:49%20GMT	http://bookwritingfounders.com/professional-audio-book	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/professional-audio-book	(from https://bookwritingfounders.com/)
13:19:50	55804/55804	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2008:19:49%20GMT	https://bookwritingfounders.com/professional-audio-book	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/professional-audio-book.html	(from https://bookwritingfounders.com/)
13:19:50	266/266	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Mar%202021%2008:19:49%20GMT	http://bookwritingfounders.com/Book-Video-Trailer	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/Book-Video-Trailer	(from https://bookwritingfounders.com/)
13:19:50	55334/55334	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2008:19:50%20GMT	https://bookwritingfounders.com/Book-Video-Trailer	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/Book-Video-Trailer.html	(from https://bookwritingfounders.com/)
13:19:51	265/265	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Mar%202021%2008:19:50%20GMT	http://bookwritingfounders.com/book-cover-design	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/book-cover-design	(from https://bookwritingfounders.com/)
13:19:51	57908/57908	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2008:19:50%20GMT	https://bookwritingfounders.com/book-cover-design	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/book-cover-design.html	(from https://bookwritingfounders.com/)
13:19:51	272/272	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Mar%202021%2008:19:51%20GMT	http://bookwritingfounders.com/custom-book-illustration	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/custom-book-illustration	(from https://bookwritingfounders.com/)
13:19:52	54257/54257	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Mar%202021%2008:19:51%20GMT	https://bookwritingfounders.com/custom-book-illustration	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/custom-book-illustration.html	(from https://bookwritingfounders.com/)
